Working_Year,Designation,Experience,Employment_Status,Employee_Location,Company_Size,Remote_Working_Ratio,Salary_USD
2020.0,Data Scientist,Mid,FT,PH,S,100.0,43693.0
2020.0,Data Engineering Manager,Executive,FT,ES,L,50.0,76227.0
2020.0,Machine Learning Infrastructure Engineer,Mid,FT,PT,M,0.0,47914.0
2020.0,Data Engineer,Mid,FT,US,L,100.0,101212.0
2020.0,Data Engineer,Mid,FT,GB,L,50.0,107774.0
2020.0,ML Engineer,Entry,PT,DE,S,100.0,15245.0
2020.0,Data Scientist,Mid,FT,GB,S,100.0,73482.0
2020.0,Data Engineer,Senior,FT,US,L,100.0,179509.0
2020.0,Data Scientist,Mid,FT,US,L,100.0,100258.0
2020.0,Data Engineer,Mid,FT,FR,L,50.0,66971.0
2020.0,Data Analyst,Entry,FT,IN,S,0.0,5798.0
2020.0,Data Analyst,Entry,FT,US,L,100.0,86890.0
2020.0,AI Scientist,Entry,FT,DK,S,50.0,43823.0
2020.0,Data Engineer,Entry,FT,PK,L,100.0,52270.0
2020.0,Computer Vision Engineer,Senior,FL,RU,S,100.0,57290.0
2020.0,,,,,,,
2020.0,Data Scientist,Mid,FT,ES,M,100.0,37025.0
2020.0,Data Scientist,Mid,FT,US,M,100.0,112670.0
2020.0,Data Scientist,Senior,FT,US,L,50.0,114580.0
2020.0,Data Scientist,Mid,FT,US,M,100.0,132101.0
2020.0,Data Engineer,Mid,FT,US,L,100.0,105032.0
2020.0,Data Engineer,Mid,FT,ES,M,100.0,124892.0
2020.0,Data Scientist,Entry,PT,IT,S,50.0,20690.0
2020.0,Data Scientist,Senior,FT,US,L,100.0,393392.0
2020.0,Machine Learning Engineer,Senior,FT,HR,S,100.0,43558.0
2020.0,Data Scientist,Entry,FT,DE,S,50.0,59893.0
2020.0,Data Scientist,Entry,FT,DE,S,0.0,47043.0
2020.0,Data Science Manager,Senior,FT,US,M,100.0,181609.0
2020.0,Data Scientist,Entry,FT,US,S,100.0,100258.0
2020.0,Data Scientist,Senior,FT,AT,S,0.0,87116.0
,,,,,,,
2020.0,Data Scientist,Mid,FT,FR,S,50.0,40291.0
2021.0,Research Scientist,,,GB,,50.0,
2021.0,BI Data Analyst,Executive,FT,IN,L,100.0,143225.0
2021.0,Head of Data,Executive,FT,US,L,100.0,224386.0
2021.0,Data Scientist,Senior,FT,FR,L,50.0,50790.0
,,,,,,,
2021.0,3D Computer Vision Researcher,Mid,PT,IN,M,50.0,5165.0
,,,,,,,
2021.0,Data Analyst,Entry,FT,US,M,100.0,76387.0
2021.0,Data Analytics Engineer,Senior,FT,DE,L,100.0,75620.0
2021.0,Data Engineer,Mid,FT,US,L,100.0,
2021.0,Applied Data Scientist,Mid,FT,GB,L,50.0,51788.0
2021.0,Machine Learning Engineer,Mid,FT,ES,S,100.0,45146.0
2021.0,Director of Data Science,Executive,FT,IT,L,100.0,146726.0
2021.0,Data Engineer,Mid,FT,PL,L,100.0,27190.0
,,,,,,,
2021.0,Data Analytics Engineer,Mid,FT,US,L,100.0,105032.0
2021.0,Lead Data Analyst,Senior,FT,US,L,100.0,162322.0
2021.0,Data Analyst,Senior,FT,BG,S,100.0,76387.0
2021.0,Marketing Data Analyst,Senior,FT,GR,L,100.0,84650.0
2021.0,Data Science Consultant,Entry,FT,DE,S,100.0,73363.0
2021.0,Lead Data Analyst,Mid,FT,IN,L,100.0,18723.0
2021.0,Lead Data Engineer,Senior,FT,US,L,0.0,263534.0
2021.0,Data Scientist,Entry,FT,IN,L,50.0,28407.0
2021.0,Cloud Data Engineer,Mid,FT,SG,L,50.0,85261.0
2021.0,AI Scientist,Entry,PT,BR,S,100.0,11458.0
2021.0,Financial Data Analyst,Mid,FT,US,L,100.0,429675.0
2021.0,Computer Vision Software Engineer,Entry,FT,US,M,100.0,66838.0
2021.0,Computer Vision Software Engineer,Mid,FT,DE,S,100.0,91422.0
2021.0,Data Analyst,Mid,FT,US,L,0.0,71613.0
2021.0,Data Engineer,Senior,FT,US,L,100.0,143225.0
2021.0,BI Data Analyst,Mid,FT,HU,L,50.0,34621.0
2021.0,Data Analyst,Mid,FT,US,L,0.0,59200.0
2021.0,Data Scientist,Mid,FT,US,L,0.0,69703.0
2021.0,Data Analyst,Mid,FT,GB,L,50.0,49192.0
2021.0,Research Scientist,Mid,FT,CA,L,100.0,178976.0
2021.0,Data Engineer,Senior,FT,US,S,100.0,109806.0
2021.0,Data Engineer,Senior,FT,US,M,100.0,143225.0
2021.0,,,,,,,
2021.0,Machine Learning Engineer,Senior,FT,DE,L,50.0,90293.0
2021.0,Director of Data Engineering,Senior,FT,GB,M,100.0,108351.0
2021.0,Lead Data Engineer,Senior,FT,GB,S,100.0,98501.0
2021.0,AI Scientist,Entry,PT,PK,M,100.0,11458.0
2021.0,Data Engineer,Mid,FT,NL,L,100.0,43341.0
2021.0,Machine Learning Scientist,Entry,FT,US,L,100.0,214838.0
2021.0,Data Scientist,Mid,FT,NG,L,100.0,47742.0
2021.0,Data Science Engineer,Mid,FT,GR,M,100.0,38374.0
2021.0,Data Analyst,Entry,FT,US,S,100.0,85935.0
2021.0,Data Engineer,Mid,FT,US,L,100.0,190967.0
2021.0,Big Data Engineer,Mid,FT,ES,M,50.0,57290.0
2021.0,Principal Data Engineer,Senior,FT,US,M,100.0,190967.0
2021.0,Data Analyst,Entry,FT,US,M,100.0,47742.0
2021.0,Applied Data Scientist,Entry,FT,GB,L,0.0,105067.0
2021.0,Data Analyst,Entry,PT,ES,M,50.0,9886.0
2021.0,Principal Data Scientist,Mid,FT,US,L,100.0,144180.0
2021.0,Machine Learning Scientist,Senior,FT,US,S,50.0,114580.0
2021.0,Data Scientist,Mid,FT,IN,S,0.0,9038.0
2021.0,Machine Learning Engineer,Entry,FT,IN,S,100.0,19097.0
2021.0,Lead Data Scientist,Senior,FT,IN,L,50.0,38738.0
2021.0,Machine Learning Developer,Entry,FT,IQ,S,50.0,95483.0
,,,,,,,
2021.0,Applied Machine Learning Scientist,Mid,FT,VN,M,100.0,36666.0
2021.0,Computer Vision Engineer,Senior,FT,BR,M,100.0,22916.0
2021.0,Data Scientist,Entry,FT,US,S,0.0,95483.0
2021.0,Data Analyst,Mid,FT,US,M,100.0,85935.0
2021.0,ML Engineer,Mid,FT,JP,S,50.0,60833.0
2021.0,,,,,,50.0,
2021.0,Principal Data Scientist,Senior,FT,US,L,0.0,210063.0
2021.0,Data Scientist,Entry,FT,US,M,100.0,76387.0
2021.0,Data Analyst,Mid,FT,US,L,100.0,128903.0
2021.0,Data Science Manager,Senior,FT,US,L,0.0,229160.0
2021.0,Data Engineering Manager,Senior,FT,US,L,0.0,143225.0
2021.0,Data Scientist,Mid,FT,US,S,100.0,78774.0
2021.0,Data Engineer,Mid,FT,US,L,100.0,95483.0
2021.0,Machine Learning Engineer,Senior,FT,BE,M,50.0,
2021.0,Research Scientist,Mid,FT,FR,M,50.0,59819.0
2021.0,Data Engineer,Mid,FT,US,L,100.0,85935.0
2021.0,Data Engineering Manager,Senior,FT,US,L,100.0,146090.0
2021.0,Cloud Data Engineer,Senior,FT,BR,S,100.0,152773.0
2021.0,Director of Data Science,Senior,FT,JP,S,0.0,160412.0
2021.0,Data Scientist,Mid,FT,US,M,100.0,143225.0
2021.0,Data Scientist,Mid,FT,CA,L,100.0,72352.0
2021.0,Data Scientist,Entry,FT,UA,L,100.0,12795.0
2021.0,Data Science Manager,Senior,FT,US,L,100.0,137496.0
2021.0,Data Science Engineer,Senior,FT,CA,L,50.0,121475.0
2021.0,Data Scientist,Mid,FT,SG,M,100.0,113682.0
2021.0,Applied Machine Learning Scientist,Mid,FT,US,L,50.0,403895.0
2021.0,Data Analytics Manager,Senior,FT,US,M,100.0,
2021.0,Machine Learning Engineer,Entry,FT,US,S,100.0,119354.0
2021.0,Head of Data,Executive,FT,RU,L,50.0,219612.0
2021.0,Head of Data Science,Executive,FT,RU,M,0.0,81161.0
2021.0,Data Engineer,Mid,FT,MT,L,50.0,27088.0
2021.0,Data Science Consultant,Entry,FT,DE,L,50.0,60948.0
2021.0,Director of Data Science,Executive,FT,DE,M,50.0,124153.0
2021.0,Data Specialist,Senior,FT,US,L,100.0,157548.0
2021.0,Data Engineer,Entry,FT,US,L,100.0,76387.0
2021.0,Director of Data Science,Executive,FT,US,L,0.0,238708.0
2021.0,BI Data Analyst,Entry,FT,US,S,50.0,52516.0
2021.0,Data Architect,Mid,FT,US,L,100.0,143225.0
2021.0,Data Architect,Mid,FT,US,L,100.0,162322.0
2021.0,Data Engineer,Mid,FT,GB,L,100.0,78801.0
2021.0,Data Analyst,Entry,FT,US,S,100.0,57290.0
2021.0,Principal Data Scientist,Senior,FT,US,L,100.0,224386.0
2021.0,Research Scientist,Senior,FT,PT,L,50.0,58013.0
2021.0,Data Engineering Manager,Senior,FT,US,L,100.0,166141.0
2021.0,Data Scientist,Mid,FT,MX,S,0.0,
2021.0,Data Scientist,Mid,FT,CL,L,100.0,38230.0
2021.0,Machine Learning Engineer,Entry,FT,US,S,50.0,77342.0
2021.0,Data Scientist,Mid,FT,IN,S,100.0,5422.0
2021.0,Big Data Engineer,Mid,FT,IN,L,0.0,21590.0
2021.0,Data Scientist,Mid,FT,DE,L,50.0,86636.0
,,,,,,,
2021.0,Finance Data Analyst,Senior,FT,GB,L,50.0,59100.0
2021.0,,,,,,,
2021.0,Data Engineer,Mid,FT,IR,M,100.0,3819.0
2021.0,Data Analytics Engineer,Senior,FT,VN,M,100.0,47742.0
2021.0,Data Science Consultant,Executive,FT,FR,S,100.0,66591.0
2021.0,Data Engineer,Senior,FT,RO,S,50.0,73363.0
2021.0,Machine Learning Engineer,Mid,FT,JP,S,50.0,70658.0
2021.0,Data Science Manager,Senior,FT,US,L,100.0,145135.0
2021.0,Machine Learning Engineer,Entry,FT,CO,M,50.0,20857.0
2021.0,,,,,,0.0,
2021.0,Data Science Manager,Senior,FT,US,L,100.0,166141.0
2021.0,Research Scientist,Senior,FT,CA,L,50.0,91772.0
2021.0,Data Scientist,Mid,FT,US,L,50.0,140361.0
2021.0,BI Data Analyst,Entry,FT,KE,S,100.0,8853.0
2021.0,Machine Learning Engineer,Senior,FT,IN,L,100.0,23243.0
2021.0,Data Science Manager,Senior,FT,IN,L,50.0,51651.0
2021.0,Data Science Consultant,Entry,FT,US,S,100.0,85935.0
2021.0,Data Scientist,Mid,FT,DE,M,50.0,58691.0
2021.0,Machine Learning Infrastructure Engineer,Senior,FT,US,M,100.0,186193.0
2021.0,Data Scientist,Mid,FT,ES,L,100.0,36117.0
2021.0,Research Scientist,Senior,FT,FR,S,100.0,47742.0
2021.0,,,,,,,
2021.0,Data Scientist,Mid,FT,BR,S,0.0,12318.0
2021.0,Machine Learning Engineer,Senior,FT,US,L,100.0,190967.0
2021.0,Data Engineer,Senior,FT,US,M,0.0,157548.0
2021.0,Data Engineer,Mid,FL,IT,L,0.0,
2021.0,Data Analytics Manager,Senior,FT,US,L,0.0,114580.0
2021.0,,,,,,,
2021.0,Research Scientist,Mid,FT,FR,,50.0,
2021.0,Data Engineer,Mid,FT,HK,S,50.0,63040.0
2021.0,Big Data Engineer,Entry,FT,IN,L,0.0,5616.0
2021.0,Machine Learning Engineer,Entry,FT,DE,M,50.0,23702.0
2021.0,Principal Data Engineer,Senior,FT,US,L,100.0,176644.0
2021.0,Computer Vision Engineer,Entry,PT,DK,S,50.0,27317.0
2021.0,Data Scientist,Mid,FT,DE,L,50.0,86636.0
2021.0,Machine Learning Engineer,Mid,FT,BE,M,100.0,84650.0
2021.0,Data Analytics Manager,Senior,FT,US,L,100.0,133677.0
2021.0,Machine Learning Engineer,Mid,FT,PL,L,100.0,44492.0
2021.0,Data Scientist,Mid,FT,GB,L,50.0,111633.0
2021.0,Data Scientist,Mid,FT,IN,M,0.0,32281.0
2021.0,Data Scientist,Mid,FT,GB,L,50.0,53715.0
2021.0,Machine Learning Scientist,Senior,FT,US,L,100.0,214838.0
2021.0,Principal Data Scientist,Executive,CT,US,S,100.0,397211.0
2021.0,Data Scientist,Senior,FT,CA,S,100.0,83775.0
2021.0,Data Scientist,Mid,FT,DE,L,50.0,84650.0
2021.0,Data Scientist,Senior,FT,US,L,0.0,128903.0
2021.0,Data Analyst,Senior,FT,CA,M,100.0,68544.0
2021.0,Big Data Engineer,Entry,FT,IN,L,100.0,15495.0
2021.0,ML Engineer,Senior,FT,US,S,100.0,244438.0
2021.0,Director of Data Engineering,Senior,FT,US,L,100.0,190967.0
2021.0,Data Analyst,Senior,FT,US,L,100.0,190967.0
2021.0,Data Architect,Mid,FT,US,L,100.0,171870.0
2021.0,Head of Data Science,Mid,FT,US,S,0.0,105032.0
2021.0,Research Scientist,Mid,FT,CA,M,100.0,60928.0
2021.0,Data Scientist,Mid,FT,ES,M,100.0,44695.0
2021.0,Data Scientist,Entry,FT,VN,M,0.0,
2021.0,Data Engineer,Entry,FT,IN,M,50.0,20660.0
2021.0,Data Scientist,Senior,FT,CA,L,100.0,99008.0
2021.0,Data Analyst,Mid,FT,US,L,100.0,76387.0
2021.0,Data Engineer,Mid,FT,US,L,100.0,105032.0
2021.0,Data Scientist,Senior,FT,US,L,100.0,157548.0
2021.0,AI Scientist,Entry,FT,IN,,100.0,
2021.0,Data Engineer,Mid,FT,GB,L,50.0,68950.0
2021.0,Data Scientist,Entry,FT,FR,L,50.0,34988.0
2021.0,Data Engineer,Mid,FT,TR,M,0.0,11556.0
2021.0,Data Engineer,Senior,FT,GB,L,50.0,91933.0
2021.0,Principal Data Analyst,Senior,FT,US,M,100.0,162322.0
2021.0,Data Scientist,Mid,FT,US,L,50.0,109806.0
2021.0,Data Scientist,Entry,FT,US,S,100.0,85935.0
2021.0,Principal Data Engineer,Executive,FT,US,L,100.0,572900.0
2021.0,Data Scientist,Entry,FT,IN,M,100.0,27116.0
2021.0,Data Analyst,Mid,FT,US,L,100.0,88800.0
2021.0,Big Data Architect,Senior,FT,CA,M,50.0,95200.0
2021.0,Data Engineer,Mid,FT,US,L,100.0,190967.0
2021.0,Principal Data Scientist,Senior,FT,DE,M,100.0,165914.0
2021.0,Machine Learning Engineer,Senior,FT,US,L,50.0,176644.0
2021.0,Director of Data Science,Executive,FT,DE,L,0.0,
2021.0,Data Scientist,,,,,50.0,
2021.0,Data Analyst,Senior,FT,DE,L,50.0,60948.0
2021.0,Data Scientist,Mid,FT,IN,S,100.0,16141.0
2021.0,Machine Learning Engineer,Senior,FT,IN,L,0.0,63272.0
2021.0,Data Scientist,Mid,FT,RS,S,100.0,24379.0
2021.0,Lead Data Engineer,Senior,FT,PR,S,50.0,152773.0
2021.0,Data Engineer,Mid,FT,US,M,0.0,88943.0
2021.0,Data Engineer,Mid,FT,US,M,0.0,106727.0
2021.0,Data Engineer,Mid,FT,TR,M,100.0,26751.0
2021.0,Data Engineer,Entry,FT,DE,M,50.0,62077.0
2021.0,Data Engineer,Entry,FT,US,L,100.0,69225.0
2021.0,Computer Vision Engineer,Senior,FT,BR,M,0.0,18053.0
2021.0,Data Science Consultant,Entry,FT,DE,L,0.0,73363.0
2021.0,Machine Learning Engineer,Entry,FT,NL,S,100.0,81161.0
2021.0,Data Scientist,Senior,FT,FR,M,50.0,74175.0
2021.0,Data Scientist,Entry,FT,US,M,100.0,95483.0
2021.0,Data Scientist,Entry,FT,US,L,50.0,55380.0
2021.0,AI Scientist,Senior,FT,ES,L,100.0,52516.0
2021.0,Data Scientist,Senior,FT,TR,L,50.0,19260.0
2021.0,Business Data Analyst,Entry,FT,LU,L,100.0,56433.0
2021.0,,,,,,,
2021.0,Research Scientist,Entry,FT,JE,L,0.0,95483.0
2021.0,Data Engineer,Mid,PT,NL,L,100.0,66591.0
2021.0,Staff Data Scientist,Senior,CT,US,M,100.0,100258.0
2021.0,Research Scientist,Mid,FT,CZ,L,50.0,66837.0
2021.0,Data Science Manager,Senior,FT,IN,L,50.0,90389.0
2021.0,Head of Data,Senior,FT,SI,L,100.0,98194.0
2021.0,Data Scientist,Mid,FT,US,L,50.0,104077.0
2021.0,Machine Learning Engineer,Mid,FT,IT,L,50.0,48758.0
,,,,,,,
2022.0,Data Analyst,Senior,FT,US,M,100.0,147999.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,115153.0
2022.0,Data Scientist,Mid,FT,US,M,0.0,124128.0
2022.0,Data Scientist,Mid,FT,US,M,0.0,85935.0
2022.0,Data Engineer,Mid,FT,US,M,100.0,162322.0
2022.0,Data Engineer,Mid,FT,US,M,100.0,143225.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,97489.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,81065.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,130449.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,94872.0
2022.0,Data Scientist,Senior,FT,GB,M,0.0,112469.0
2022.0,Data Scientist,Senior,FT,GB,,0.0,
2022.0,Data Scientist,Senior,FT,US,M,100.0,139406.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,117445.0
2022.0,Data Engineer,Entry,FT,GB,M,100.0,49987.0
2022.0,Data Analyst,Senior,FT,US,M,0.0,94529.0
2022.0,Data Analyst,Senior,FT,US,M,0.0,110761.0
2022.0,Data Analyst,Mid,FT,US,M,0.0,101461.0
2022.0,Data Analyst,Mid,FT,US,M,0.0,120787.0
2022.0,Data Engineer,Executive,FT,US,M,100.0,231070.0
2022.0,Data Engineer,Executive,FT,US,M,100.0,190967.0
2022.0,Data Scientist,Mid,FT,GB,M,0.0,62482.0
2022.0,Data Scientist,Mid,FT,GB,M,0.0,37490.0
2022.0,Data Engineer,Mid,FT,GB,M,0.0,74979.0
2022.0,Data Engineer,Mid,FT,GB,M,0.0,49987.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,157758.0
2022.0,Data Engineer,Entry,FT,GB,M,100.0,43738.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,114733.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,86241.0
2022.0,Data Engineer,Senior,FT,US,M,0.0,173722.0
2022.0,,,,,,0.0,
2022.0,Data Engineer,Senior,FT,US,M,0.0,210169.0
2022.0,Data Engineer,Senior,FT,US,M,0.0,152850.0
2022.0,Data Scientist,Senior,FT,US,L,0.0,171870.0
2022.0,Data Scientist,Senior,FT,US,L,0.0,114580.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,118581.0
2022.0,Data Analyst,Executive,FT,US,M,100.0,124128.0
2022.0,Data Analyst,Executive,FT,US,M,100.0,105032.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,162322.0
2022.0,Data Analyst,Mid,FT,US,M,100.0,110283.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,107801.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,86241.0
2022.0,Data Analyst,,FT,US,,100.0,
2022.0,Data Analyst,Senior,FT,US,M,100.0,86241.0
2022.0,Data Engineer,Senior,FT,US,M,100.0,157930.0
2022.0,Data Engineer,Senior,FT,US,M,100.0,126344.0
2022.0,Data Analyst,Mid,FT,US,M,100.0,159457.0
2022.0,Data Engineer,Senior,FT,US,M,100.0,232884.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,130430.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,104344.0
2022.0,Data Engineer,Senior,FT,US,M,100.0,123054.0
2022.0,Data Engineer,Senior,FT,US,M,100.0,89468.0
2022.0,Head of Data Science,Executive,FT,US,M,100.0,213883.0
2022.0,Head of Data Science,Executive,FT,US,M,100.0,160293.0
2022.0,Analytics Engineer,Executive,FT,US,M,100.0,167096.0
2022.0,Data Engineer,Senior,FT,US,M,100.0,149527.0
2022.0,Data Engineer,Senior,FT,US,M,0.0,103886.0
2022.0,Data Scientist,Senior,FT,US,M,0.0,91234.0
2022.0,Data Engineer,Senior,FT,US,L,0.0,107896.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,128903.0
2022.0,Data Science Manager,Senior,FT,US,M,100.0,154055.0
2022.0,Data Science Manager,Senior,FT,US,M,100.0,130947.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,159457.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,117445.0
2022.0,Data Engineer,Senior,FT,GB,M,0.0,74979.0
2022.0,Data Engineer,Senior,FT,GB,M,0.0,62482.0
2022.0,Data Scientist,Senior,FT,US,M,0.0,143225.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,201947.0
2022.0,Data Architect,Senior,FT,CA,M,100.0,183710.0
2022.0,Data Architect,Senior,FT,CA,M,100.0,86603.0
2022.0,Data Analyst,Senior,FT,CA,M,100.0,124128.0
2022.0,Data Analyst,Senior,FT,CA,M,100.0,58531.0
2022.0,Data Analyst,Senior,FT,CA,M,100.0,124128.0
2022.0,Data Analyst,Senior,FT,CA,,100.0,
2022.0,Data Engineer,Senior,FT,US,L,0.0,152773.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,132340.0
2022.0,Data Engineer,Senior,FT,US,M,0.0,129857.0
2022.0,Data Analyst,Mid,FT,US,S,0.0,55380.0
2022.0,Analytics Engineer,Executive,FT,US,M,100.0,128903.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,162322.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,117445.0
2022.0,Machine Learning Engineer,Senior,FT,US,M,0.0,181084.0
2022.0,Machine Learning Engineer,Senior,FT,US,M,0.0,157544.0
2022.0,ETL Developer,Mid,FT,GR,M,0.0,52475.0
2022.0,ETL Developer,Mid,FT,GR,M,0.0,52475.0
2022.0,Lead Data Engineer,Executive,FT,CA,S,100.0,112849.0
2022.0,Data Analyst,Senior,FT,US,M,0.0,126038.0
2022.0,Data Engineer,Senior,FT,US,M,100.0,
2022.0,Data Architect,Senior,FT,US,M,100.0,199345.0
2022.0,Data Architect,Senior,FT,US,M,100.0,141124.0
2022.0,,,,,,,
2022.0,Data Engineer,Senior,FT,US,M,100.0,96982.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,123054.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,89468.0
2022.0,Head of Machine Learning,Executive,FT,IN,L,50.0,75469.0
2022.0,Data Engineer,Senior,FT,US,M,100.0,126344.0
2022.0,Machine Learning Engineer,Entry,FT,GB,L,100.0,35615.0
2022.0,Data Analyst,Senior,FT,US,M,0.0,156593.0
2022.0,Data Engineer,Senior,FT,US,M,100.0,147999.0
2022.0,Machine Learning Engineer,Mid,FT,GB,M,0.0,118717.0
2022.0,Machine Learning Engineer,Mid,FT,GB,M,0.0,
2022.0,AI Scientist,Mid,FT,US,M,0.0,114580.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,107801.0
2022.0,Data Analyst,Senior,FT,US,M,100.0,86241.0
2022.0,Data Analytics Manager,Senior,FT,US,M,100.0,138451.0
2022.0,Data Analytics Manager,Senior,FT,US,M,100.0,100640.0
2022.0,Machine Learning Engineer,Mid,FT,FR,M,100.0,83960.0
2022.0,Data Engineer,Mid,FT,GB,M,0.0,112469.0
2022.0,Data Scientist,Senior,FT,US,L,100.0,
2022.0,Data Scientist,Senior,FT,US,L,100.0,151055.0
2022.0,Data Engineer,Senior,FT,US,L,100.0,199656.0
2022.0,Data Engineer,Senior,FT,US,L,100.0,147617.0
2022.0,Data Analyst,Senior,FT,US,M,0.0,110698.0
2022.0,Data Analyst,Senior,FT,US,M,0.0,77977.0
2022.0,,,,,,,
2022.0,Data Engineer,Mid,FT,GB,M,0.0,93725.0
2022.0,Data Analyst,Mid,FT,US,S,0.0,55380.0
2022.0,Data Engineer,Senior,FT,US,L,100.0,175308.0
2022.0,Data Analyst,Mid,FT,GB,M,100.0,49987.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,171870.0
2022.0,Data Scientist,Mid,FT,GB,M,0.0,68731.0
2022.0,Data Scientist,Mid,FT,GB,M,0.0,43738.0
2022.0,Data Engineer,Mid,FT,GR,M,100.0,62970.0
2022.0,Data Engineer,Mid,FT,GR,M,100.0,47227.0
2022.0,Data Engineer,Mid,FT,GB,M,100.0,74979.0
2022.0,Data Engineer,Mid,FT,GB,M,100.0,56234.0
2022.0,Data Scientist,Senior,FT,US,M,100.0,248257.0
2022.0,Data Science Engineer,Senior,FT,AR,L,100.0,57290.0
2022.0,Data Engineer,Mid,FT,US,M,0.0,61014.0
2022.0,Machine Learning Scientist,Mid,FT,US,L,100.0,152773.0
2022.0,Machine Learning Scientist,Mid,FT,US,L,100.0,107228.0
2022.0,Data Science Manager,Mid,FT,US,M,100.0,230115.0
2022.0,Data Science Manager,Mid,FT,US,M,100.0,151819.0
2022.0,Data Scientist,Senior,FT,US,M,0.0,171870.0
2022.0,Data Scientist,Senior,FT,US,M,0.0,76387.0
2022.0,Data Engineer,Mid,FT,US,M,0.0,79156.0
2022.0,Data Engineer,Senior,FT,US,L,100.0,96247.0
2022.0,Data Engineer,Mid,FT,ES,M,100.0,47227.0
2022.0,Data Scientist,Senior,FT,US,L,0.0,134059.0
2022.0,Data Analyst,Mid,FT,GB,M,100.0,37490.0
2022.0,Data Analyst,Mid,FT,ES,M,100.0,41980.0
